Profcoll_Fee,NTF,OSP ,DPD_Beginning,AMT_LLP_Beginning,AMT_LLP_Projection,Price_List,OS_LC
1500000,7061855.67,3733033.57,438,3733033.57,3733033.57,5400000,570285
1050000,4940206.19,2569962.45,807,2569962.45,2569962.45,3300000,874940
1500000,9443877.55,7439375.99,1078,7439375.99,7439375.99,10900000,137200
15000000,115759500,86645828.14,191,86645828.14,86645828.14,85490000,1990485.51
1500000,6143877.55,6110548.49,119,2138691.972,2138691.972,3800000,0
1500000,10228865.98,8045903.75,1021,8045903.75,8045903.75,8500000,494070
1500000,7000000,1956894.39,107,684913.0365,684913.0365,7800000,0
1500000,7061855.67,3312705.85,508,3312705.85,3312705.85,4500000,2431530
1200000,9140625,2074847.5,327,2074847.5,2074847.5,7800000,2000292.5
1200000,7440816.33,2857718.54,622,2857718.54,2857718.54,8500000,591485
1200000,8091252.07,5371805.98,720,5371805.98,5371805.98,8000000,637775
1350000,8022680.41,2249198.11,746,2249198.11,2249198.11,6400000,798200
1500000,6019587.63,3183149.12,539,3183149.12,3183149.12,7500000,124550
1100000,6019587.63,4149345.67,744,4149345.67,4149345.67,5000000,298450
1200000,4795876.29,1339207.05,517,1339207.05,1339207.05,7000000,676212.57
1000000,5864948.45,1236794.13,743,1236794.13,1236794.13,8100000,0
1000000,5864948.45,1236794.13,743,1236794.13,1236794.13,8100000,0
14000000,80270000,57882470.17,214,57882470.17,57882470.17,67404000,13259073.87
1700000,20730545.26,20400074.64,353,20400074.64,20400074.64,17000000,1171778.24
1500000,7808163.27,7808163.27,656,7808163.27,7808163.27,8000000,0
1000000,5328865.98,1487871.62,821,1487871.62,1487871.62,4600000,0
11734700,86242500,46773639.2,131,16370773.72,23386819.6,87550000,8027864.17
1500000,9036458.33,4046830.9,114,1416390.815,1416390.815,7500000,2112395.31
1400000,8654639.18,7205272.29,692,7205272.29,7205272.29,7500000,215660
1300000,6009262.38,3990477.6,911,3990477.6,3990477.6,7200000,332631.8
1500000,7000000,1591425.23,134,556998.8305,795712.615,9300000,0
1500000,4538144.33,3547874.75,260,3547874.75,3547874.75,4000000,457535
1050000,3731409.14,2607769.06,319,2607769.06,2607769.06,3300000,67081.64
1200000,4808247.42,4808247.42,58,504865.9791,504865.9791,3200000,0
1400000,7385858.59,6275737.23,775,6275737.23,6275737.23,6700000,0
1500000,11043750,5460233.46,109,1911081.711,1911081.711,9600000,4368435
1200000,2584693.88,1812577.04,387,1812577.04,1812577.04,3800000,0
1500000,7061855.67,4133738.3,121,1446808.405,2066869.15,6700000,1181158.57
1200000,6103125,1439594.26,237,1439594.26,1439594.26,4000000,0
1200000,9677083.33,8038127.54,330,8038127.54,8038127.54,9000000,487416.98
1300000,11274226.8,3205384.8,363,3205384.8,3205384.8,13000000,2582800
1500000,9087628.87,6661635.76,928,6661635.76,6661635.76,9300000,881002.5
1300000,9701030.93,4568857.52,748,4568857.52,4568857.52,8600000,1758810
1800000,5677551.02,2187699.34,805,2187699.34,2187699.34,4200000,0
1050000,4850000,1869852.8,743,1869852.8,1869852.8,5000000,0
1050000,4850000,1869852.8,743,1869852.8,1869852.8,5000000,0
12244900,79659500,68816441.54,212,68816441.54,68816441.54,85243200,9602246.64
1500000,6402376.87,4908039.48,1121,4908039.48,4908039.48,5500000,155445
1500000,5196907.22,4054084.05,52,425678.8253,425678.8253,5000000,189597.5
1000000,7440816.33,1653177.52,332,1653177.52,1653177.52,6700000,789698.14
1500000,10486597.94,1790908.38,112,626817.933,626817.933,8300000,0
1200000,6185567.01,2846964.08,112,996437.428,996437.428,8300000,0
11000000,187196826.3,172013628,38,18061430.94,18061430.94,259000000,0
1300000,3692783.51,2133419.42,545,2133419.42,2133419.42,3700000,154500
9000000,107954500,84066436.27,38,8826975.808,8826975.808,126690000,20017723.49
1200000,8091252.07,4951456.59,149,1733009.807,2475728.295,9000000,2359128.05
1500000,11274226.8,4595198.13,440,4595198.13,4595198.13,9000000,3775200
12244900,131225000,79040911.15,114,27664318.9,27664318.9,106000000,19020075
12244900,131225000,79040911.15,114,27664318.9,27664318.9,106000000,19020075
1200000,8497959.18,4764820.51,375,4764820.51,4764820.51,9500000,0
1500000,8127083.33,5494973.84,201,5494973.84,5494973.84,7500000,1333605.41
1500000,6780612.24,1950336.91,357,1950336.91,1950336.91,7800000,433450
1000000,12530927.84,2901323.9,104,1015463.365,1015463.365,10500000,0
1500000,8860824.74,4091331.27,78,429589.7834,1431965.945,8000000,1523204.48
1200000,4940206.19,4201109.89,394,4201109.89,4201109.89,6900000,0
1000000,5864948.45,1622348.19,684,1622348.19,1622348.19,7800000,821107.5
1200000,9372448.98,8052552.54,1090,8052552.54,8052552.54,9000000,0
1000000,5864948.45,1906995.65,109,667448.4775,667448.4775,4100000,2.91E-11
800000,8654639.18,1276750.67,699,1276750.67,1276750.67,9000000,1229208.01
1200000,4940206.19,732548.13,328,732548.13,732548.13,5000000,593640
1500000,3105102.04,2673161.05,818,2673161.05,2673161.05,3200000,16100
750000,2584693.88,1442777.55,640,1442777.55,1442777.55,2800000,66000
1100000,6911714.73,6393894.73,959,6393894.73,6393894.73,9000000,105367.5
1100000,8002040.82,5720778.97,776,5720778.97,5720778.97,10300000,0
800000,3788775.51,756789.82,479,756789.82,756789.82,6100000,2703442.5
8000000,48546500,25532855,48,2680949.775,2680949.775,47241000,3996846.1
8000000,48546500,25532855,48,2680949.775,2680949.775,47241000,3996846.1
1500000,11177319.59,6474128.73,714,6474128.73,6474128.73,10900000,978160
1100000,5054081.63,1948256.01,751,1948256.01,1948256.01,6000000,125842.5
9000000,69288000,58496084.86,272,58496084.86,58496084.86,55771875,3849879.46
1300000,5864948.45,2704870.38,742,2704870.38,2704870.38,4000000,543505.85
1250000,8530927.84,5440903.05,687,5440903.05,5440903.05,7800000,196800
1500000,13161458.33,12048491,382,12048491,12048491,10000000,0
6000000,69851500,35464363.24,753,35464363.24,35464363.24,73500000,0
1200000,7148453.61,5247513.69,80,550988.9375,1836629.792,9500000,857720
1500000,6780612.24,5449606.14,448,5449606.14,5449606.14,6000000,0
